Year,Deaths,Month
2007,126,1
2007,105,2
2007,133,3
2007,137,4
2007,128,5
2007,108,6
2007,170,7
2007,143,8
2007,146,9
2007,145,10
2007,125,11
2007,146,12
2008,104,1
2008,92,2
2008,120,3
2008,127,4
2008,116,5
2008,152,6
2008,150,7
2008,207,8
2008,132,9
2008,140,10
2008,109,11
2008,104,12
2009,98,1
2009,108,2
2009,107,3
2009,114,4
2009,120,5
2009,140,6
2009,144,7
2009,137,8
2009,141,9
2009,154,10
2009,94,11
2009,99,12
2010,85,1
2010,79,2
2010,103,3
2010,96,4
2010,100,5
2010,108,6
2010,105,7
2010,149,8
2010,117,9
2010,123,10
2010,88,11
2010,105,12
2011,67,1
2011,70,2
2011,85,3
2011,85,4
2011,71,5
2011,106,6
2011,130,7
2011,119,8
2011,112,9
2011,106,10
2011,93,11
2011,97,12
2012,75,1
2012,60,2
2012,71,3
2012,70,4
2012,82,5
2012,83,6
2012,105,7
2012,95,8
2012,94,9
2012,96,10
2012,79,11
2012,78,12
2013,69,1
2013,55,2
2013,55,3
2013,70,4
2013,55,5
2013,79,6
2013,85,7
2013,119,8
2013,93,9
2013,69,10
2013,67,11
2013,63,12
2014,54,1
2014,51,2
2014,50,3
2014,56,4
2014,67,5
2014,70,6
2014,79,7
2014,87,8
2014,72,9
2014,72,10
2014,63,11
2014,74,12
2015,57,1
2015,52,2
2015,55,3
2015,67,4
2015,62,5
2015,69,6
2015,76,7
2015,96,8
2015,64,9
2015,59,10
2015,60,11
2015,76,12
2016,64,1
2016,57,2
2016,54,3
2016,68,4
2016,76,5
2016,69,6
2016,79,7
2016,81,8
2016,69,9
2016,84,10
2016,65,11
2016,58,12
2017,54,1
2017,56,2
2017,41,3
2017,51,4
2017,52,5
2017,63,6
2017,73,7
2017,76,8
2017,78,9
2017,70,10
2017,52,11
2017,65,12
2018,38,1
2018,37,2
2018,69,3
2018,54,4
2018,53,5
2018,49,6
2018,75,7
2018,70,8
2018,58,9
2018,63,10
2018,63,11
2018,71,12
2019,44,1
2019,39,2
2019,39,3
2019,50,4
2019,65,5
2019,74,6
2019,70,7
2019,80,8
2019,70,9
2019,63,10
2019,43,11
2019,51,12
