industry	Man	Non-binary	Other or prefer not to answer	Woman	NA	Prefer not to answer	gender_gap	gender_scale	gap_direction	gap_perc_m	index_ind
Accounting, Banking & Finance	112764.600961538	50063.5294117647	95438.8888888889	88353.3621145374	136881.818181818	NA	24411.238847001	0.558606144658552	Man	1.27629100084902	19
Agriculture or Forestry	76631.9166666667	122568	54500	73708.7647058823	NA	88000	2923.15196078432	0.112628304548999	Man	1.03965813254975	10
Art & Design	69357.7777777778	64792.2142857143	39666.6666666667	74627.1981981982	1e+05	NA	5269.42042042041	0.161324298077248	Woman	0.929390080993988	7
Business or Consulting	112270.923913043	74176.25	105980	102771.422932331	120000	NA	9499.50098071265	0.249118162731557	Man	1.09243329234594	22
Computing or Tech	145357.202120141	121843.464912281	133274.583333333	118951.526150628	156024.166666667	NA	26405.6759695137	0.6	Man	1.22198686157315	25
Education (Higher Education)	81188.1371681416	57247.5166666667	65062.4	67532.9270462633	68232.7857142857	NA	13655.2101218782	0.335368474204812	Man	1.20220077403907	5
Education (Primary/Secondary)	78039.0175438596	54854.625	NA	64352.0917874396	74750	NA	13686.92575642	0.336026721272853	Man	1.21268812522255	3
Engineering or Manufacturing	107782.78525641	84165.3181818182	89150.3529411765	94385.2403433476	116266.666666667	NA	13397.5449130626	0.330020721568318	Man	1.14194533874498	21
Entertainment	117598.611111111	123500	101250	103099.712328767	NA	NA	14498.898782344	0.352878941679736	Man	1.1406298665132	23
Government and Public Administration	93514.7588235294	59185.9310344828	73395.6428571429	81879.590633131	115843.8	NA	11635.1681903984	0.293443199874785	Man	1.14210095703251	14
Health care	103570.88976378	85301.7586206897	114955.5625	90460.5741444867	109322.222222222	NA	13110.3156192928	0.32405937653421	Man	1.14492850330966	18
Hospitality & Events	68638.064516129	30686.25	28000	70952.76	75000	NA	2314.69548387096	0.1	Woman	0.967376949341069	4
Insurance	104356.184615385	100092.333333333	105375	83028.0478873239	81000	NA	21328.1367280607	0.494617422390113	Man	1.25687869666651	16
Law	137051.304347826	57294.6153846154	115757.142857143	119459.40625	117350	NA	17591.8980978261	0.417073076852553	Man	1.14726256098252	24
Leisure, Sport & Tourism	82644	NA	NA	71024.2575757576	NA	NA	11619.7424242424	0.293123043412801	Man	1.16360244824592	6
Marketing, Advertising & PR	95503.6632653061	80946.4285714286	136500	90265.8275862069	67571.4285714286	NA	5237.83567909923	0.160668767652905	Man	1.05802678399084	17
Media & Digital	99736.6504854369	69787	89085.7142857143	84115.6145374449	60000	NA	15621.035947992	0.376168511946847	Man	1.18570911041776	15
Nonprofits	83258.6606060606	54976.5333333333	77589.1333333333	73115.45	68983.6363636364	NA	10143.2106060606	0.262478134230674	Man	1.13872869012036	8
Property or Construction	88824.575	57833.3333333333	117333.333333333	71163.6638297872	50000	NA	17660.9111702128	0.418505419393111	Man	1.24817315775724	9
Recruitment or HR	89231.8181818182	64804	110000	80183.0471976401	88866.6666666667	NA	9048.77098417806	0.239763416941879	Man	1.11285142309289	12
Retail	75223.6607142857	33311.3846153846	69142.8571428571	60597.7375886525	28106.6666666667	NA	14625.9231256332	0.355515288161461	Man	1.24136087761092	2
Sales	94710.6382978723	36000	32300	78947.5714285714	NA	NA	15763.0668693009	0.379116314785208	Man	1.19966500025353	13
Social Work	60409.2222222222	56387.5	90000	56967.9463414634	56000	NA	3441.2758807588	0.123381788000684	Man	1.06040723076328	1
Transport or Logistics	92245.6136363636	57300	81500	77174.7639751553	NA	NA	15070.8496612084	0.364749585118371	Man	1.19528209592011	11
Utilities & Telecommunications	108520.927272727	53403	79900	88099.7267759563	NA	NA	20421.200496771	0.475794273373198	Man	1.23179641122728	20
