industry	education	avg_salary	salary	order	index	index_ind	index_edu	group	group2
Education (Primary/Secondary)	High School	32000	$30,000 - $40,000	30000	1	3	1	Education (Primary/Secondary)-$30,000 - $40,000	High School-$30,000 - $40,000
Leisure, Sport & Tourism	High School	31200	$30,000 - $40,000	30000	1	6	1	Leisure, Sport & Tourism-$30,000 - $40,000	High School-$30,000 - $40,000
Retail	High School	38861.16	$30,000 - $40,000	30000	1	2	1	Retail-$30,000 - $40,000	High School-$30,000 - $40,000
Retail	PhD	39520	$30,000 - $40,000	30000	1	2	6	Retail-$30,000 - $40,000	PhD-$30,000 - $40,000
Retail	Professional degree (MD, JD, etc.)	39140.3333333333	$30,000 - $40,000	30000	1	2	4	Retail-$30,000 - $40,000	Professional degree (MD, JD, etc.)-$30,000 - $40,000
Agriculture or Forestry	Some college	48087.0909090909	$40,000 - $50,000	40000	2	10	2	Agriculture or Forestry-$40,000 - $50,000	Some college-$40,000 - $50,000
Education (Primary/Secondary)	Some college	43717.4444444444	$40,000 - $50,000	40000	2	3	2	Education (Primary/Secondary)-$40,000 - $50,000	Some college-$40,000 - $50,000
Hospitality & Events	High School	41423.3333333333	$40,000 - $50,000	40000	2	4	1	Hospitality & Events-$40,000 - $50,000	High School-$40,000 - $50,000
Leisure, Sport & Tourism	PhD	42000	$40,000 - $50,000	40000	2	6	6	Leisure, Sport & Tourism-$40,000 - $50,000	PhD-$40,000 - $50,000
Leisure, Sport & Tourism	Some college	40654	$40,000 - $50,000	40000	2	6	2	Leisure, Sport & Tourism-$40,000 - $50,000	Some college-$40,000 - $50,000
Nonprofits	High School	46827.6	$40,000 - $50,000	40000	2	8	1	Nonprofits-$40,000 - $50,000	High School-$40,000 - $50,000
Retail	Some college	49828.6097560976	$40,000 - $50,000	40000	2	2	2	Retail-$40,000 - $50,000	Some college-$40,000 - $50,000
Social Work	College degree	44807.6226415094	$40,000 - $50,000	40000	2	1	3	Social Work-$40,000 - $50,000	College degree-$40,000 - $50,000
Social Work	Some college	41947	$40,000 - $50,000	40000	2	1	2	Social Work-$40,000 - $50,000	Some college-$40,000 - $50,000
Art & Design	High School	54500	$50,000 - $60,000	50000	3	7	1	Art & Design-$50,000 - $60,000	High School-$50,000 - $60,000
Art & Design	PhD	55000	$50,000 - $60,000	50000	3	7	6	Art & Design-$50,000 - $60,000	PhD-$50,000 - $60,000
Business or Consulting	High School	59053.3333333333	$50,000 - $60,000	50000	3	22	1	Business or Consulting-$50,000 - $60,000	High School-$50,000 - $60,000
Education (Higher Education)	High School	54390.9090909091	$50,000 - $60,000	50000	3	5	1	Education (Higher Education)-$50,000 - $60,000	High School-$50,000 - $60,000
Education (Higher Education)	Some college	58293.3947368421	$50,000 - $60,000	50000	3	5	2	Education (Higher Education)-$50,000 - $60,000	Some college-$50,000 - $60,000
Education (Primary/Secondary)	College degree	50141.397260274	$50,000 - $60,000	50000	3	3	3	Education (Primary/Secondary)-$50,000 - $60,000	College degree-$50,000 - $60,000
Government and Public Administration	Some college	57483.8148148148	$50,000 - $60,000	50000	3	14	2	Government and Public Administration-$50,000 - $60,000	Some college-$50,000 - $60,000
Health care	High School	55924.5555555556	$50,000 - $60,000	50000	3	18	1	Health care-$50,000 - $60,000	High School-$50,000 - $60,000
Hospitality & Events	Some college	57158.8888888889	$50,000 - $60,000	50000	3	4	2	Hospitality & Events-$50,000 - $60,000	Some college-$50,000 - $60,000
Property or Construction	High School	52580	$50,000 - $60,000	50000	3	9	1	Property or Construction-$50,000 - $60,000	High School-$50,000 - $60,000
Recruitment or HR	High School	59620	$50,000 - $60,000	50000	3	12	1	Recruitment or HR-$50,000 - $60,000	High School-$50,000 - $60,000
Social Work	Professional degree (MD, JD, etc.)	57500	$50,000 - $60,000	50000	3	1	4	Social Work-$50,000 - $60,000	Professional degree (MD, JD, etc.)-$50,000 - $60,000
Transport or Logistics	Some college	58547.2058823529	$50,000 - $60,000	50000	3	11	2	Transport or Logistics-$50,000 - $60,000	Some college-$50,000 - $60,000
Accounting, Banking & Finance	Some college	68513.7553956835	$60,000 - $70,000	60000	4	19	2	Accounting, Banking & Finance-$60,000 - $70,000	Some college-$60,000 - $70,000
Education (Higher Education)	College degree	61130.876984127	$60,000 - $70,000	60000	4	5	3	Education (Higher Education)-$60,000 - $70,000	College degree-$60,000 - $70,000
Education (Higher Education)	Master's degree	66043.2952755906	$60,000 - $70,000	60000	4	5	5	Education (Higher Education)-$60,000 - $70,000	Master's degree-$60,000 - $70,000
Education (Primary/Secondary)	Professional degree (MD, JD, etc.)	67879.8823529412	$60,000 - $70,000	60000	4	3	4	Education (Primary/Secondary)-$60,000 - $70,000	Professional degree (MD, JD, etc.)-$60,000 - $70,000
Health care	Some college	62802.52	$60,000 - $70,000	60000	4	18	2	Health care-$60,000 - $70,000	Some college-$60,000 - $70,000
Hospitality & Events	College degree	67343.1538461538	$60,000 - $70,000	60000	4	4	3	Hospitality & Events-$60,000 - $70,000	College degree-$60,000 - $70,000
Insurance	High School	61132.7222222222	$60,000 - $70,000	60000	4	16	1	Insurance-$60,000 - $70,000	High School-$60,000 - $70,000
Law	College degree	66386.3939393939	$60,000 - $70,000	60000	4	24	3	Law-$60,000 - $70,000	College degree-$60,000 - $70,000
Law	Some college	64314.2444444444	$60,000 - $70,000	60000	4	24	2	Law-$60,000 - $70,000	Some college-$60,000 - $70,000
Leisure, Sport & Tourism	College degree	69449.4	$60,000 - $70,000	60000	4	6	3	Leisure, Sport & Tourism-$60,000 - $70,000	College degree-$60,000 - $70,000
Nonprofits	College degree	68557.4712525667	$60,000 - $70,000	60000	4	8	3	Nonprofits-$60,000 - $70,000	College degree-$60,000 - $70,000
Nonprofits	Some college	68587.9733333333	$60,000 - $70,000	60000	4	8	2	Nonprofits-$60,000 - $70,000	Some college-$60,000 - $70,000
Property or Construction	Some college	62091.2142857143	$60,000 - $70,000	60000	4	9	2	Property or Construction-$60,000 - $70,000	Some college-$60,000 - $70,000
Retail	College degree	64044.745	$60,000 - $70,000	60000	4	2	3	Retail-$60,000 - $70,000	College degree-$60,000 - $70,000
Social Work	Master's degree	61829.1455696203	$60,000 - $70,000	60000	4	1	5	Social Work-$60,000 - $70,000	Master's degree-$60,000 - $70,000
Transport or Logistics	High School	67612.0666666667	$60,000 - $70,000	60000	4	11	1	Transport or Logistics-$60,000 - $70,000	High School-$60,000 - $70,000
Accounting, Banking & Finance	High School	71749.8571428571	$70,000 - $80,000	70000	5	19	1	Accounting, Banking & Finance-$70,000 - $80,000	High School-$70,000 - $80,000
Agriculture or Forestry	College degree	71091.4666666667	$70,000 - $80,000	70000	5	10	3	Agriculture or Forestry-$70,000 - $80,000	College degree-$70,000 - $80,000
Agriculture or Forestry	Master's degree	78035.8333333333	$70,000 - $80,000	70000	5	10	5	Agriculture or Forestry-$70,000 - $80,000	Master's degree-$70,000 - $80,000
Art & Design	College degree	73200.3692307692	$70,000 - $80,000	70000	5	7	3	Art & Design-$70,000 - $80,000	College degree-$70,000 - $80,000
Art & Design	Master's degree	74877.0151515152	$70,000 - $80,000	70000	5	7	5	Art & Design-$70,000 - $80,000	Master's degree-$70,000 - $80,000
Art & Design	Some college	72855.5555555556	$70,000 - $80,000	70000	5	7	2	Art & Design-$70,000 - $80,000	Some college-$70,000 - $80,000
Education (Primary/Secondary)	Master's degree	72584.8386308068	$70,000 - $80,000	70000	5	3	5	Education (Primary/Secondary)-$70,000 - $80,000	Master's degree-$70,000 - $80,000
Engineering or Manufacturing	Some college	77569.5245901639	$70,000 - $80,000	70000	5	21	2	Engineering or Manufacturing-$70,000 - $80,000	Some college-$70,000 - $80,000
Government and Public Administration	College degree	72832.3151927438	$70,000 - $80,000	70000	5	14	3	Government and Public Administration-$70,000 - $80,000	College degree-$70,000 - $80,000
Government and Public Administration	High School	70968.7142857143	$70,000 - $80,000	70000	5	14	1	Government and Public Administration-$70,000 - $80,000	High School-$70,000 - $80,000
Health care	College degree	74056.7015625	$70,000 - $80,000	70000	5	18	3	Health care-$70,000 - $80,000	College degree-$70,000 - $80,000
Insurance	Some college	70321.2549019608	$70,000 - $80,000	70000	5	16	2	Insurance-$70,000 - $80,000	Some college-$70,000 - $80,000
Law	High School	73750	$70,000 - $80,000	70000	5	24	1	Law-$70,000 - $80,000	High School-$70,000 - $80,000
Marketing, Advertising & PR	Some college	74422.8571428571	$70,000 - $80,000	70000	5	17	2	Marketing, Advertising & PR-$70,000 - $80,000	Some college-$70,000 - $80,000
