industry	avg_salary	salary	order	index_ind	index	group
Social Work	57228.625	$50,000 - $60,000	50000	1	3	1-3
Education (Higher Education)	68734.8105420189	$60,000 - $70,000	60000	5	4	5-4
Education (Primary/Secondary)	65311.6719197708	$60,000 - $70,000	60000	3	4	3-4
Hospitality & Events	68686.8272251309	$60,000 - $70,000	60000	4	4	4-4
Retail	61779.6537396122	$60,000 - $70,000	60000	2	4	2-4
Agriculture or Forestry	76577.6981132075	$70,000 - $80,000	70000	10	5	10-5
Art & Design	73152.9311594203	$70,000 - $80,000	70000	7	5	7-5
Leisure, Sport & Tourism	72138.4794520548	$70,000 - $80,000	70000	6	5	6-5
Nonprofits	73277.5343659245	$70,000 - $80,000	70000	8	5	8-5
Property or Construction	73943.0638297872	$70,000 - $80,000	70000	9	5	9-5
Transport or Logistics	79981.7251184834	$70,000 - $80,000	70000	11	5	11-5
Government and Public Administration	82879.5237053246	$80,000 - $90,000	80000	14	6	14-6
Insurance	86671.6736111111	$80,000 - $90,000	80000	16	6	16-6
Media & Digital	86248.3497453311	$80,000 - $90,000	80000	15	6	15-6
Recruitment or HR	80621.5013477089	$80,000 - $90,000	80000	12	6	12-6
Sales	80913.9279279279	$80,000 - $90,000	80000	13	6	13-6
Accounting, Banking & Finance	92016.4024478042	$90,000 - $100,000	90000	19	7	19-7
Engineering or Manufacturing	97530.0820433437	$90,000 - $100,000	90000	21	7	21-7
Health care	91848.9959893048	$90,000 - $100,000	90000	18	7	18-7
Marketing, Advertising & PR	90732.0900798176	$90,000 - $100,000	90000	17	7	17-7
Utilities & Telecommunications	92116.9259259259	$90,000 - $100,000	90000	20	7	20-7
Business or Consulting	103543.978428351	$100,000 - $110,000	1e+05	22	8	22-8
Entertainment	106237.410526316	$100,000 - $110,000	1e+05	23	8	23-8
Law	120287.28308026	$120,000 - $130,000	120000	24	10	24-10
Computing or Tech	130085.979184488	$130,000 - $140,000	130000	25	11	25-11
