"cancer","measure","n_contrast","n_ref","beta","HR_log","lower_95_log","upper_95_log","Type","p.value"
"ACC","OS",77,77,-0.104,-0.104250021373799,-0.423120043346885,0.215111379616945,"NS",0.522
"BLCA","OS",406,406,0.11,0.113328685307003,0.0198026272961797,0.207014169384326,"Risky",0.0211
"BRCA","OS",1097,1097,0.0188,0.0198026272961797,-0.0932123817221787,0.131028262406404,"NS",0.742
"CESC","OS",306,306,-0.0607,-0.0608121393967575,-0.226900600191922,0.104360015324243,"NS",0.476
"CHOL","OS",36,36,-0.0432,-0.0429075010112765,-0.331285709933913,0.246860077931526,"NS",0.769
"COAD","OS",288,288,0.0927,0.0953101798043249,-0.0747235461959364,0.262364264467491,"NS",0.277
"DLBC","OS",47,47,0.0991,0.0953101798043249,-0.569161200778954,0.765467842139571,"NS",0.771
"ESCA","OS",182,182,0.0223,0.0198026272961797,-0.135819723142535,0.182321556793955,"NS",0.783
"GBM","OS",165,165,-0.062,-0.0618754037180875,-0.244622582991334,0.122217632724249,"NS",0.507
"HNSC","OS",519,519,0.014,0.00995033085316809,-0.0812100554255432,0.113328685307003,"NS",0.773
"KICH","OS",65,65,-0.105,-0.105360515657826,-0.785262469467751,0.576613364303994,"NS",0.761
"KIRC","OS",531,531,-0.303,-0.303811454381665,-0.432322562278047,-0.174353387144778,"Protective",3.76e-06
"KIRP","OS",288,288,0.349,0.350656871613169,0.0295588022415444,0.667829372575655,"Risky",0.0327
"LAML","OS",161,161,0.105,0.104360015324243,-0.0202027073175195,0.231111720963387,"NS",0.101
"LGG","OS",521,521,-0.337,-0.336872316642553,-0.596020469829223,-0.0790432073404529,"Protective",0.0104
"LIHC","OS",370,370,0.0568,0.0582689081239758,-0.06720874969345,0.182321556793955,"NS",0.369
"LUAD","OS",506,506,-0.00475,-0.00501254182354429,-0.132389188045746,0.122217632724249,"NS",0.942
"LUSC","OS",492,492,0.0446,0.048790164169432,-0.0512932943875506,0.139761942375159,"NS",0.361
"MESO","OS",86,86,0.161,0.157003748809665,-0.0151136378100482,0.336472236621213,"NS",0.0727
"OV","OS",425,425,-0.0364,-0.0366639843715915,-0.112049503808623,0.0392207131532813,"NS",0.347
"PAAD","OS",179,179,-0.0619,-0.0618754037180875,-0.233193887167711,0.113328685307003,"NS",0.48
"PCPG","OS",182,182,0.0736,0.0769610411361284,-0.772190387900398,0.920282753143692,"NS",0.865
"PRAD","OS",496,496,-0.193,-0.192371892647456,-0.944175935363691,0.559615787935423,"NS",0.615
"READ","OS",92,92,0.064,0.0676586484738149,-0.355247391947547,0.482426149244293,"NS",0.765
"SARC","OS",262,262,-0.0733,-0.0736465401682985,-0.198450938723838,0.048790164169432,"NS",0.251
"SKCM","OS",454,454,-0.079,-0.0790432073404529,-0.199671195129068,0.0392207131532813,"NS",0.198
"STAD","OS",408,408,0.17,0.173953307123438,0.0582689081239758,0.285178942233662,"Risky",0.00347
"TGCT","OS",137,137,0.0402,0.0392207131532813,-0.941608539858445,1.02245092770255,"NS",0.936
"THCA","OS",512,512,0.275,0.27763173659828,-0.420071260497527,0.966983846189673,"NS",0.438
"THYM","OS",118,118,0.329,0.3293037471426,-0.353821874956326,1.01160091167848,"NS",0.345
"UCEC","OS",180,180,0.225,0.22314355131421,-0.0335567835288428,0.482426149244293,"NS",0.088
"UCS","OS",57,57,-0.0173,-0.0171461588349705,-0.198450938723838,0.165514438477573,"NS",0.852
"UVM","OS",79,79,-0.0951,-0.0954101848046582,-0.507497833673316,0.314810739840034,"NS",0.651
