lncRNA_signature	T.cells	CD8.T.cells	Cytotoxic.lymphocytes	B.lineage	NK.cells	Monocytic.lineage	Myeloid.dendritic.cells	Neutrophils	Endothelial.cells	Fibroblasts
low-risk	7.966894227	7.88060671	7.824184562	8.439322864	7.854782325	8.394351687	9.761141523	7.845123648	6.67936764	7.721879937
low-risk	8.277771711	8.074882023	7.266119153	8.825882777	7.545401351	7.867821655	8.969235066	8.215161887	6.577551114	7.89200246
low-risk	8.145059503	8.430885044	7.443772894	8.794929579	8.115130174	7.577745624	9.755835613	7.64401475	6.658522322	8.448630097
low-risk	7.865223066	8.507350978	7.367553674	8.586422471	8.160724113	7.385632849	9.637882738	7.657043519	6.756791753	8.227444853
low-risk	8.075559763	6.938453883	7.076889273	9.64058344	7.717651289	7.486390211	8.884702493	7.865124024	7.199028185	8.525902868
low-risk	8.452373897	9.05284113	8.729087446	7.804494884	7.752109209	8.80474373	8.892670912	7.347218585	6.758260867	8.165052415
high-risk	7.642650195	7.601705356	7.175262931	6.792417067	7.87740302	7.377421237	8.843185674	7.516509471	6.630339078	7.520378401
high-risk	6.301715367	5.776066652	5.637885985	5.347235384	6.988641119	7.18804073	7.465435997	8.209628626	7.357739887	11.7971831
high-risk	7.890922894	6.883475897	6.889001873	8.450729547	7.991352332	7.27233311	8.48516545	8.318199458	7.021000153	8.932320722
low-risk	8.265642582	7.723205569	7.425726377	8.833287699	8.129211328	7.518163818	9.416370067	7.865970227	6.670691359	8.040822037
low-risk	7.284810343	5.969325258	7.782085939	6.746331998	7.92918779	7.022528226	7.90429749	7.664455137	6.817958565	10.03737697
high-risk	7.542319086	8.119345453	7.433674948	7.199935448	8.293695757	7.362142785	8.133285187	8.561888488	6.500937304	8.10543368
low-risk	8.022863373	8.404153225	8.069833701	7.173380817	7.872532627	8.248960781	8.850728915	7.393199254	6.638942325	7.934110137
high-risk	7.647230071	7.852104511	7.752591795	6.955564006	7.418328472	7.984693667	8.414351583	7.944280541	7.074858058	11.15129693
low-risk	8.3483456	7.918015395	7.976899438	8.139965042	8.010035058	8.273314887	8.659489051	8.134348078	6.78741016	8.646280433
low-risk	7.932115874	7.55271762	6.972184074	8.334101504	7.736144566	7.243367049	9.199784435	7.839645227	6.656902945	7.771629452
low-risk	7.308606737	6.480615364	7.429146076	6.813619706	7.81135724	6.982214541	8.195698416	7.751985816	6.774549743	9.38462987
low-risk	7.750235825	8.146909423	7.392308187	8.180456268	8.394953885	7.321530628	9.087431218	8.276965726	6.637317714	8.18197646
low-risk	7.710781704	8.019640733	7.901716067	7.193749765	7.679956302	7.283997376	8.866003787	8.117223345	6.408527273	9.048009954
low-risk	7.596928721	7.898537396	7.736893151	7.640211879	7.669130696	7.104600503	7.658417879	8.125707954	6.238163601	8.68461313
high-risk	7.50414607	7.381256288	7.206323026	7.105205523	7.81781137	7.350659252	8.329388142	7.924504188	6.730494836	8.475606505
high-risk	7.200515404	5.039903572	6.109941872	6.910313178	7.523933447	7.429822723	8.217120891	7.858194157	6.592907725	9.123399089
low-risk	7.951276565	8.122878759	7.640776248	7.719869056	7.897254608	7.688790048	9.257694759	7.839184773	6.993942863	8.177484209
low-risk	7.787607728	7.942400704	8.288207968	7.698685012	8.015697859	7.648124517	9.091145428	7.788223765	6.852970063	7.851075198
low-risk	7.79516143	7.894758308	7.848430015	7.559267882	8.012457403	7.446631809	8.910588413	7.752181466	7.089136684	7.914408033
low-risk	7.729975081	8.202701011	7.987850217	7.38532665	7.922113905	7.642500066	8.805253794	7.840415905	6.732024085	7.905314482
low-risk	7.939110968	7.661604393	7.394271677	8.998017969	7.754020655	8.472174753	9.083780574	8.06002439	7.172333863	9.875590908
low-risk	8.208125709	8.037414113	7.534651603	9.241396702	7.712561419	8.204976238	8.486564759	7.927873291	6.966804565	8.758218244
high-risk	7.403649299	6.516156296	6.676693726	7.440799642	7.784136149	6.798157054	9.559508681	7.146847066	6.853099889	9.171107405
low-risk	7.78329449	7.735707828	7.629307758	9.352003846	7.693249326	7.356411353	8.996287332	7.554066387	6.809095583	8.190336152
high-risk	7.093881935	7.015306812	6.497641588	7.248513845	7.73903839	7.128425099	8.698938608	7.658069356	6.728057401	8.248036507
high-risk	7.760046948	7.848677917	7.465014089	7.753492738	8.295858757	7.984449024	9.109763814	7.684458532	6.980371568	9.433608851
low-risk	8.02251063	7.668638772	7.005851502	8.629926796	7.830418072	7.300686049	8.581156228	8.389098312	6.849941101	8.188213802
low-risk	8.174408157	8.161151374	7.406272166	7.948103036	7.730555708	7.639368689	9.038104427	7.939248639	6.659332301	8.13669796
high-risk	7.964308704	7.767408638	6.848317888	7.159172955	7.605144836	7.738967358	8.709725445	7.931512922	6.773460323	8.123428936
high-risk	7.460646215	7.314577311	6.695005571	7.347575369	7.592891152	7.449287852	9.29043122	7.987192379	6.921070325	8.437923872
low-risk	8.203717313	8.478843098	7.953310982	7.872471471	8.241256315	8.065123072	8.553394337	7.745343788	6.822286123	9.089331814
high-risk	7.906786686	7.376291844	8.100716308	7.633065361	8.377659732	8.189319058	8.418783775	7.830029234	6.785083682	9.067533916
