lncRNA_signature	Intratumor_CD20	group
low-risk	4930	A
low-risk	1582	A
low-risk	6684	A
low-risk	4244	A
low-risk	101	A
low-risk	2035	A
low-risk	4996	A
low-risk	626	A
low-risk	4254	A
low-risk	20	A
low-risk	1538	A
low-risk	2583	A
low-risk	258	A
low-risk	5877	A
low-risk	944	A
low-risk	5267	A
low-risk	188	A
low-risk	3343	A
low-risk	1407	A
low-risk	1705	A
low-risk	6644	A
low-risk	1877	A
low-risk	1527	A
low-risk	1278	A
low-risk	6022	A
low-risk	0	A
low-risk	759	A
low-risk	1914	A
low-risk	1609	A
low-risk	937	A
low-risk	1087	A
low-risk	516	A
low-risk	3931	A
low-risk	828	A
low-risk	545	A
low-risk	335	A
low-risk	691	A
low-risk	3665	A
low-risk	3073	A
low-risk	1009	A
low-risk	5141	A
low-risk	781	A
low-risk	2014	A
low-risk	3887	A
low-risk	4401	A
low-risk	701	A
low-risk	1411	A
low-risk	1718	A
low-risk	1040	A
low-risk	73	A
low-risk	4435	A
low-risk	22	A
low-risk	5	A
low-risk	693	A
low-risk	5389	A
low-risk	3948	A
low-risk	2068	A
low-risk	3102	A
low-risk	3032	A
low-risk	67	A
low-risk	4402	A
low-risk	2072	A
low-risk	2910	A
low-risk	183	A
low-risk	4054	A
low-risk	984	A
low-risk	1744	A
low-risk	649	A
low-risk	2533	A
low-risk	4836	A
low-risk	1929	A
low-risk	1613	A
low-risk	641	A
low-risk	8973	A
low-risk	632	A
low-risk	772	A
low-risk	177	A
low-risk	8447	A
high-risk	15	A
high-risk	576	A
high-risk	674	A
high-risk	1408	A
high-risk	896	A
high-risk	1623	A
high-risk	2185	A
high-risk	1671	A
high-risk	1495	A
high-risk	134	A
high-risk	1184	A
high-risk	42	A
high-risk	4628	A
high-risk	2653	A
high-risk	626	A
high-risk	718	A
high-risk	246	A
high-risk	31	A
high-risk	1818	A
high-risk	1210	A
high-risk	4588	A
low-risk	8006	B
low-risk	2118	B
low-risk	7601	B
low-risk	5315	B
low-risk	1013	B
low-risk	3498	B
low-risk	3130	B
low-risk	2349	B
low-risk	5440	B
low-risk	86	B
low-risk	2778	B
low-risk	6496	B
low-risk	696	B
low-risk	6131	B
low-risk	2343	B
low-risk	9510	B
low-risk	271	B
low-risk	6845	B
low-risk	1270	B
low-risk	2437	B
low-risk	9663	B
low-risk	2553	B
low-risk	3072	B
low-risk	4166	B
low-risk	6659	B
low-risk	697	B
low-risk	518	B
low-risk	2817	B
low-risk	2966	B
low-risk	1918	B
low-risk	1182	B
low-risk	1354	B
low-risk	4999	B
low-risk	924	B
low-risk	2215	B
low-risk	1394	B
low-risk	2413	B
low-risk	7124	B
low-risk	3449	B
low-risk	1170	B
low-risk	7441	B
low-risk	1010	B
low-risk	3084	B
low-risk	5255	B
low-risk	6234	B
low-risk	2037	B
low-risk	1371	B
low-risk	2211	B
low-risk	2105	B
low-risk	68	B
low-risk	7717	B
low-risk	42	B
low-risk	3	B
low-risk	1125	B
low-risk	6401	B
low-risk	3337	B
low-risk	2772	B
low-risk	5066	B
low-risk	7412	B
low-risk	1134	B
low-risk	7732	B
low-risk	3954	B
low-risk	8262	B
low-risk	717	B
low-risk	5220	B
low-risk	2295	B
low-risk	2997	B
low-risk	956	B
low-risk	3218	B
low-risk	6732	B
low-risk	3071	B
low-risk	2098	B
low-risk	1227	B
low-risk	9177	B
low-risk	1630	B
low-risk	1270	B
low-risk	796	B
low-risk	8824	B
high-risk	390	B
high-risk	859	B
high-risk	874	B
high-risk	3028	B
high-risk	4855	B
high-risk	2847	B
high-risk	3087	B
high-risk	3877	B
high-risk	3304	B
high-risk	370	B
high-risk	1755	B
high-risk	100	B
high-risk	5282	B
high-risk	1840	B
high-risk	1259	B
high-risk	1899	B
high-risk	438	B
high-risk	267	B
high-risk	3027	B
high-risk	2443	B
high-risk	7668	B
low-risk	1263	C
low-risk	2706	C
low-risk	5351	C
low-risk	4032	C
low-risk	5365	C
low-risk	3922	C
low-risk	3196	C
low-risk	7000	C
low-risk	5694	C
low-risk	2364	C
low-risk	3679	C
low-risk	5328	C
low-risk	2224	C
low-risk	4164	C
low-risk	2722	C
low-risk	1708	C
low-risk	6364	C
low-risk	5378	C
low-risk	2886	C
low-risk	7211	C
low-risk	7667	C
low-risk	5062	C
low-risk	5447	C
low-risk	1820	C
low-risk	1685	C
low-risk	8385	C
low-risk	5994	C
low-risk	3215	C
low-risk	4682	C
low-risk	4009	C
low-risk	1548	C
low-risk	3402	C
low-risk	6696	C
low-risk	3340	C
low-risk	2298	C
low-risk	1631	C
low-risk	7116	C
low-risk	7481	C
low-risk	4962	C
low-risk	4605	C
low-risk	7330	C
low-risk	2051	C
low-risk	7254	C
low-risk	4441	C
low-risk	1885	C
low-risk	3807	C
low-risk	6041	C
low-risk	3827	C
low-risk	4485	C
low-risk	3482	C
low-risk	2567	C
low-risk	4180	C
low-risk	5764	C
low-risk	5851	C
low-risk	5466	C
low-risk	1454	C
low-risk	3825	C
low-risk	4495	C
low-risk	8628	C
low-risk	4493	C
low-risk	3315	C
low-risk	6530	C
