,K01938,K01491,K13990,K00297,K00122,acs,K00625,K00925,apr,K00958,dsr,nif,nar,nap,nir,nrf,ure,glt,K01915,K03320,K00926,arg,mcr
229_01-HSRNA1-Archotermopsidae-Hodotermopsissjosdedti,1.583241203,2.343105782,1.936845976,2.222568224,1.996381141,2.538742008,2.264414412,2.183393636,1.700797461,1.381338076,1.653563301,2.853697603,1.374289914,1.631525709,2.046724507,1.747591246,2.10796714,2.552736751,2.209568722,2.213886963,1.750571537,2.628003903,0.957699547
301_75-SA16_13-Hodotermes-Hodotermes,1.989666568,2.103159167,1.152084147,2.096331791,1.600075407,2.007274036,1.825357541,2.131099873,0,0.933242637,0,2.468981311,0,0,1.927045414,0,1.735153743,2.300793588,2.137108485,1.963377253,1.316042995,2.297878138,0
301_91-US17-Archotermopsidae-Zootermopsis_nevadensis,1.787352716,2.36435102,1.927373941,2.358798749,2.082016308,2.393321628,2.434027082,2.353589318,1.634982662,1.179574453,1.467971902,2.687905874,2.06373087,1.802521269,2.201626093,1.252803703,1.868139905,2.692010149,2.161739964,2.220826755,1.823605209,2.672191391,1.307189442
230_10-POROTERMES52-Stolotermitidae-Porotermes,1.623510791,1.787411963,1.451457076,1.801062638,0,2.276826454,1.750177874,1.817139208,0,0,0,2.265916957,0,0,1.573011378,0,1.496947144,2.349258634,1.984542709,1.477936413,0.596051851,1.774039074,0
272_76-PORO_CHILI-Stolotermitidae-Porotermes_quadricollis,1.548922014,2.070207304,1.065432709,1.888361197,1.839009209,1.810725807,2.028049326,2.046834394,0.718772229,1.153232092,0,1.929461173,1.029965545,1.313560196,1.819311743,0,1.408473912,2.235804374,1.704772186,1.576108451,1.02529804,2.30254174,1.241060416
272_17-AUST14_12-Stolotermitidae-Stolotermes_victoriensis,1.273270312,1.736505923,0,1.477814443,1.585977379,1.800987521,1.569323044,1.736326587,0.774312909,1.150559904,0,2.283491035,1.667430098,1.852966674,0,1.377578784,2.031797442,2.285852605,1.859547525,1.755189799,0,2.061927041,0
229_03-CF_RNA_1-Rhinotermitidae-Coptotermesformosanus,1.906987314,2.514358492,1.620544756,2.435712111,1.736191547,2.639312619,2.755738671,2.499970847,0,0.733716984,1.1077587,2.872748162,1.792929125,2.33902829,1.715228247,1.195179261,2.699782068,2.913539868,2.471864145,2.419545659,1.644188192,2.794204297,0
301_09-87-Rhinotermitidae-Coptotermes_elisae,1.578058655,2.540107853,1.094950893,2.37814323,1.061335973,1.946246255,2.67763309,2.416680647,0.395550386,0,0,2.797711165,0.517758796,1.491840373,0.891067898,0,2.610570309,2.879753337,2.255825757,2.326184948,0.728695401,2.680955657,1.339749045
230_04-RDCT185-Rhinotermitidae-Coptotermes,1.782494625,2.174824984,1.769452176,2.092332276,1.470980301,2.442677425,2.260670632,2.044291358,0,0.611784678,0,2.401819598,0.385699914,1.56392339,1.532623995,0.393573449,2.103623674,2.524171088,2.010179847,2.099011997,1.630088922,2.400386281,0
230_26-G13_107-Rhinotermitidae-Coptotermes_testaceus,1.379413217,2.600871136,1.337392305,2.530592625,1.349104105,2.501275347,2.814138841,2.516384837,0,0.874033318,0,1.23295626,1.06494839,0,0,0,0,2.983416625,2.50093502,2.53040489,0,2.890961035,1.275198723
272_11-AUS47-Rhinotermitidae-Heterotermes_vagus,1.763211009,2.210288849,1.325753455,2.103211867,0,2.032010698,2.517060496,2.229969359,0,0,0,2.604600011,0,0,1.458472982,0,2.368602871,2.609166035,2.17002908,2.161177413,1.446947409,2.540144238,0
272_94-TBRU825-Rhinotermitidae-Heterotermes,0.98072906,2.007895801,0,1.945277715,1.259242742,1.953416642,2.216358932,1.889985964,0,0,0,1.500635927,0,1.196721185,0,0.878476181,0,2.438919325,1.837325503,1.947171493,0.53174133,2.2651863,0
272_16-AUS88-Rhinotermitidae-Heterotermes_sp_5,1.682566896,2.101442098,0,2.040464285,0,2.117294876,2.348617596,2.030765722,0,0,0,2.513308786,0,0,0,0,2.246046219,2.551130513,1.989957979,1.960632369,0,2.322924707,1.424317488
