cell	cancer	p_value	Odds Ratio	Low 95% CI	High 95% CI	sig	sigAndOR
B-cell	CHOL	0.0025004	1.212436353	1.068426794	1.375891517	sig	1
B-cell	DLBC	1.08E-05	1.460508962	1.231471193	1.73065119	sig	1
B-cell	UVM	0.001073287	0.644007606	0.482809308	0.847079907	sig	0
B-cell	MESO	0.113807563	1.150485146	0.962045961	1.373135058	non_sig	0
B-cell	THYM	5.45E-120	3.259164174	2.93747543	3.618503246	sig	1
B-cell	TGCT	7.60E-126	3.821456192	3.386550617	4.319658864	sig	1
B-cell	ESCA	3.00E-11	1.654299609	1.424706003	1.919688538	sig	1
B-cell	PAAD	0.250622865	1.149981589	0.910981421	1.455531851	non_sig	0
B-cell	SARC	5.63E-31	5.535170546	4.011812492	7.741722705	sig	1
B-cell	PCPG	1.83E-05	0.397091056	0.238091449	0.631373118	sig	0
B-cell	ACC	3.68E-10	0.400967049	0.286588222	0.549772174	sig	0
B-cell	CESC	3.56E-37	7.043212416	4.95371002	10.23212287	sig	1
B-cell	LIHC	2.36E-25	3.26474166	2.572395541	4.166895771	sig	1
B-cell	BLCA	1	0	0	2	non_sig	0
B-cell	SKCM	4.53E-78	9.01403359	7.01794775	11.65476293	sig	1
B-cell	STAD	1.40E-08	0.504730769	0.388708973	0.64896672	sig	0
B-cell	PRAD	4.90E-25	0.468828271	0.403310153	0.544177344	sig	0
B-cell	THCA	1.96E-24	0.495838805	0.429464416	0.571271272	sig	0
B-cell	HNSC	1.30E-20	2.765766514	2.220831729	3.449214654	sig	1
B-cell	OV	0.000385337	2	2.683716428	2	sig	1
B-cell	UCEC	1.09E-31	7.140682678	4.967956643	10.43466044	sig	1
B-cell	UCS	0.015422097	1.202111344	1.035068307	1.395483015	sig	1
B-cell	COAD	1.33E-08	4.23944001	2.483966403	7.407043696	sig	1
B-cell	READ	6.38E-05	2.491884941	1.571532864	3.930590016	sig	1
B-cell	LUAD	4.97E-34	3.121296833	2.575833814	3.79195105	sig	1
B-cell	LUSC	2.36E-74	7.506196184	5.896405653	9.626758476	sig	1
B-cell	BRCA	1.93E-44	9.400433489	6.271350662	14.62392938	sig	1
B-cell	GBM	0.000351098	5.477810489	1.915125929	19.13752676	sig	1
B-cell	LGG	2.46E-08	1.497138836	1.298842271	1.72369462	sig	1
B-cell	KICH	8.23E-15	0.534457347	0.450281939	0.631946786	sig	0
B-cell	KIRP	1.99E-16	2.416995418	1.955934312	2.985372361	sig	1
B-cell	KIRC	0.000120767	1.721350029	1.298048179	2.277850632	sig	1
CD4 T cell	CHOL	0.000136604	1.312728072	1.13911479	1.513123908	sig	1
CD4 T cell	DLBC	2.56E-14	1.740573986	1.50716808	2.009574336	sig	1
CD4 T cell	UVM	0.002354027	0.620552213	0.441718136	0.853950902	sig	0
CD4 T cell	MESO	0.003267948	1.39496034	1.115150197	1.740867741	sig	1
CD4 T cell	THYM	1.03E-77	2.411369683	2.193444831	2.651623187	sig	1
CD4 T cell	TGCT	0.001105214	1.215241646	1.078802132	1.370192719	sig	1
CD4 T cell	ESCA	2.69E-70	7.206742083	5.635160756	9.29146893	sig	1
CD4 T cell	PAAD	0.886705637	1.010676247	0.876842518	1.16556987	non_sig	0
CD4 T cell	SARC	1.40E-19	1.878853271	1.636941653	2.156196358	sig	1
CD4 T cell	PCPG	4.99E-54	4.393339139	3.630482003	5.322160651	sig	1
CD4 T cell	ACC	6.67E-12	2.66129562	2.008074975	3.519945556	sig	1
CD4 T cell	CESC	9.38E-45	7.157852422	5.189374456	10.04877979	sig	1
CD4 T cell	LIHC	1.61E-24	2.402793607	2.018524123	2.86518771	sig	1
CD4 T cell	BLCA	1.59E-112	10.36346807	8.162123117	13.27654781	sig	1
CD4 T cell	SKCM	9.06E-75	7.157677499	5.732081109	8.970727633	sig	1
CD4 T cell	STAD	1.01E-87	3.690749017	3.234336996	4.214601694	sig	1
CD4 T cell	PRAD	1.48E-155	11.60273652	9.158636706	14.87178224	sig	1
CD4 T cell	THCA	5.63E-23	0.522341064	0.455680323	0.597663007	sig	0
CD4 T cell	HNSC	1.44E-33	3.29464801	2.697830574	4.031169242	sig	1
CD4 T cell	OV	1.34E-23	8.417713301	4.86561596	15.75894106	sig	1
CD4 T cell	UCEC	5.17E-33	7.807028749	5.360605187	11.59109802	sig	1
CD4 T cell	UCS	0.165365282	1.135598744	0.944320716	1.364216224	non_sig	0
CD4 T cell	COAD	5.45E-41	4.30348895	3.446677868	5.389606992	sig	1
CD4 T cell	READ	1.11E-27	3.831959896	3.00142818	4.899305313	sig	1
CD4 T cell	LUAD	1.99E-36	2.73874093	2.329365617	3.224245429	sig	1
CD4 T cell	LUSC	1.79E-55	3.103421274	2.688295598	3.584143375	sig	1
CD4 T cell	BRCA	3.07E-87	6.821864701	5.441036871	8.631008397	sig	1
CD4 T cell	GBM	0.164797055	1.432687218	0.857660773	2.378689083	non_sig	0
CD4 T cell	LGG	1.36E-31	2.15705762	1.896850806	2.451904228	sig	1
CD4 T cell	KICH	6.34E-08	1.508303914	1.298600065	1.749430816	sig	1
CD4 T cell	KIRP	1.64E-38	4.695484774	3.679631802	6.0153329	sig	1
CD4 T cell	KIRC	0.039162457	1.240369161	1.007802948	1.522675634	sig	1
CD8 T cell	CHOL	0.007717765	1.213729793	1.051716344	1.400728154	sig	1
CD8 T cell	DLBC	0.0143455	1.261917549	1.044967579	1.52171036	sig	1
CD8 T cell	UVM	0.957886322	0.98888327	0.796618788	1.220278272	non_sig	0
CD8 T cell	MESO	9.84E-11	0.503078884	0.400236408	0.627934653	sig	0
CD8 T cell	THYM	1.25E-126	4.823237991	4.180862802	5.57832291	sig	1
CD8 T cell	TGCT	9.14E-71	2.689595941	2.394745497	3.025031963	sig	1
CD8 T cell	ESCA	0.115393982	1.28222325	0.938103064	1.74299776	non_sig	0
CD8 T cell	PAAD	3.44E-39	0.409616588	0.356500994	0.470177034	sig	0
CD8 T cell	SARC	4.48E-28	6.525139205	4.457828509	9.766605287	sig	1
CD8 T cell	PCPG	0.030331867	0.787695432	0.630658638	0.977729499	sig	0
CD8 T cell	ACC	1.12E-12	1.753722138	1.502072761	2.045114507	sig	1
CD8 T cell	CESC	3.97E-51	9.005883653	6.357510474	13.06491638	sig	1
CD8 T cell	LIHC	2.01E-43	5.291682098	4.051098367	6.985218802	sig	1
