sampleID	HRD	Subtype
TCGA-05-4244	28	2
TCGA-05-4249	10	3
TCGA-05-4250	14	3
TCGA-05-4382	33	3
TCGA-05-4384	8	3
TCGA-05-4389	45	2
TCGA-05-4390	27	3
TCGA-05-4395	36	2
TCGA-05-4396	13	1
TCGA-05-4397	43	1
TCGA-05-4398	47	3
TCGA-05-4402	21	3
TCGA-05-4403	10	1
TCGA-05-4405	21	3
TCGA-05-4410	32	2
TCGA-05-4415	24	1
TCGA-05-4417	22	3
TCGA-05-4418	5	3
TCGA-05-4420	46	3
TCGA-05-4422	20	2
TCGA-05-4424	29	3
TCGA-05-4425	10	3
TCGA-05-4426	14	3
TCGA-05-4427	34	3
TCGA-05-4430	20	3
TCGA-05-4432	29	1
TCGA-05-4433	17	2
TCGA-05-4434	19	2
TCGA-05-5420	15	3
TCGA-05-5423	12	3
TCGA-05-5425	21	3
TCGA-05-5428	41	3
TCGA-05-5429	14	1
TCGA-05-5715	11	1
TCGA-18-3406	40	1
TCGA-18-3407	18	1
TCGA-18-3408	11	1
TCGA-18-3409	7	3
TCGA-18-3410	20	2
TCGA-18-3411	50	1
TCGA-18-3412	42	1
TCGA-18-3414	26	1
TCGA-18-3415	48	1
TCGA-18-3416	59	2
TCGA-18-3417	41	1
TCGA-18-3419	30	2
TCGA-18-3421	66	3
TCGA-18-4083	50	1
TCGA-18-4086	32	3
TCGA-18-4721	51	2
TCGA-18-5592	28	1
TCGA-18-5595	12	1
TCGA-21-1070	41	2
TCGA-21-1071	22	2
TCGA-21-1072	43	1
TCGA-21-1075	30	1
TCGA-21-1076	22	2
TCGA-21-1076	22	2
TCGA-21-1077	30	3
TCGA-21-1078	5	1
TCGA-21-1079	36	1
TCGA-21-1080	32	3
TCGA-21-1081	31	1
TCGA-21-1082	46	3
TCGA-21-1083	46	2
TCGA-21-5782	52	2
TCGA-21-5783	34	1
TCGA-21-5784	14	1
TCGA-21-5786	46	1
TCGA-21-5787	50	1
TCGA-21-A5DI	26	1
TCGA-22-0940	40	2
TCGA-22-0944	36	1
TCGA-22-1000	9	3
TCGA-22-1002	15	1
TCGA-22-1005	11	3
TCGA-22-1011	10	3
TCGA-22-1012	49	3
TCGA-22-1016	34	1
TCGA-22-1017	42	3
TCGA-22-4591	52	3
TCGA-22-4593	31	1
TCGA-22-4594	51	3
TCGA-22-4595	80	3
TCGA-22-4596	12	3
TCGA-22-4599	33	2
TCGA-22-4601	45	1
TCGA-22-4604	34	2
TCGA-22-4605	14	1
TCGA-22-4607	14	1
TCGA-22-4609	23	3
TCGA-22-4613	42	1
TCGA-22-5471	48	1
TCGA-22-5472	7	3
TCGA-22-5473	45	3
TCGA-22-5474	18	2
TCGA-22-5477	45	1
TCGA-22-5478	22	3
TCGA-22-5479	18	3
TCGA-22-5480	15	2
TCGA-22-5481	52	2
TCGA-22-5482	31	1
TCGA-22-5483	33	1
TCGA-22-5485	24	3
TCGA-22-5489	31	2
TCGA-22-5491	36	1
TCGA-22-5492	33	3
TCGA-22-A5C4	54	2
TCGA-33-4532	45	1
TCGA-33-4533	32	1
TCGA-33-4538	36	1
TCGA-33-4547	42	1
TCGA-33-4566	45	2
TCGA-33-4582	72	1
TCGA-33-4583	19	1
TCGA-33-4586	33	3
TCGA-33-4587	44	3
TCGA-33-4589	21	1
TCGA-33-6737	29	1
TCGA-33-6738	27	3
TCGA-33-A4WN	30	3
TCGA-33-A5GW	33	3
TCGA-33-AAS8	25	2
TCGA-33-AASB	53	3
TCGA-33-AASD	46	1
TCGA-33-AASI	36	3
TCGA-33-AASJ	45	1
TCGA-33-AASL	61	1
TCGA-34-2596	34	2
TCGA-34-2600	34	1
TCGA-34-2608	13	3
TCGA-34-5231	37	1
TCGA-34-5232	10	2
TCGA-34-5234	7	3
TCGA-34-5236	27	3
TCGA-34-5239	11	3
TCGA-34-5240	27	3
TCGA-34-5241	14	1
TCGA-34-5927	17	1
TCGA-34-5928	61	1
TCGA-34-5929	18	1
TCGA-34-7107	32	1
TCGA-34-8454	35	1
TCGA-34-8455	16	1
TCGA-34-8456	39	3
TCGA-34-A5IX	41	1
TCGA-35-3615	7	3
TCGA-35-4122	35	3
TCGA-35-4123	23	3
TCGA-35-5375	45	1
TCGA-37-3783	42	3
TCGA-37-3789	43	1
TCGA-37-3792	26	1
TCGA-37-4129	0	1
TCGA-37-4130	63	2
TCGA-37-4132	18	3
TCGA-37-4133	34	1
TCGA-37-4135	48	1
TCGA-37-4141	22	1
TCGA-37-5819	63	2
TCGA-37-A5EL	63	1
TCGA-37-A5EN	36	1
TCGA-38-4625	40	2
TCGA-38-4626	8	1
TCGA-38-4627	4	3
TCGA-38-4628	46	3
TCGA-38-4629	32	3
TCGA-38-4630	40	1
TCGA-38-4631	42	1
