Sample	Project	Immune Score
TCGA-05-4244	LUAD	1165.588895
TCGA-05-4249	LUAD	1272.813296
TCGA-05-4250	LUAD	1498.056405
TCGA-05-4382	LUAD	1825.169598
TCGA-05-4384	LUAD	1047.759696
TCGA-05-4389	LUAD	1747.904232
TCGA-05-4390	LUAD	415.6975055
TCGA-05-4395	LUAD	1062.007529
TCGA-05-4396	LUAD	29.08095599
TCGA-05-4397	LUAD	692.3617864
TCGA-05-4398	LUAD	1715.887522
TCGA-05-4402	LUAD	1143.218429
TCGA-05-4403	LUAD	1533.29998
TCGA-05-4405	LUAD	1037.30005
TCGA-05-4410	LUAD	1732.660894
TCGA-05-4415	LUAD	332.1979711
TCGA-05-4417	LUAD	1873.655894
TCGA-05-4418	LUAD	1535.45263
TCGA-05-4420	LUAD	145.1376946
TCGA-05-4422	LUAD	1726.018517
TCGA-05-4424	LUAD	1405.075418
TCGA-05-4425	LUAD	1817.542
TCGA-05-4426	LUAD	964.8188645
TCGA-05-4427	LUAD	1074.207883
TCGA-05-4430	LUAD	1590.258766
TCGA-05-4432	LUAD	1193.560237
TCGA-05-4433	LUAD	1748.898084
TCGA-05-4434	LUAD	2100.670028
TCGA-05-5420	LUAD	2655.746834
TCGA-05-5423	LUAD	1973.258833
TCGA-05-5425	LUAD	2035.456821
TCGA-05-5428	LUAD	1045.777729
TCGA-05-5429	LUAD	318.6625927
TCGA-05-5715	LUAD	1143.308092
TCGA-35-3615	LUAD	697.6204971
TCGA-35-4122	LUAD	2292.576009
TCGA-35-4123	LUAD	2227.387958
TCGA-35-5375	LUAD	1319.932235
TCGA-38-4625	LUAD	1302.192048
TCGA-38-4626	LUAD	2048.980418
TCGA-38-4627	LUAD	1707.355221
TCGA-38-4628	LUAD	894.5986593
TCGA-38-4629	LUAD	2037.371297
TCGA-38-4630	LUAD	-41.30180971
TCGA-38-4631	LUAD	640.3717157
TCGA-38-4632	LUAD	1739.937518
TCGA-38-6178	LUAD	667.9778621
TCGA-38-7271	LUAD	2768.090669
TCGA-38-A44F	LUAD	2154.838269
TCGA-44-2655	LUAD	1171.820856
TCGA-44-2656	LUAD	2372.391274
TCGA-44-2656	LUAD	2046.349999
TCGA-44-2656	LUAD	1836.712585
TCGA-44-2657	LUAD	2544.105212
TCGA-44-2659	LUAD	1588.598117
TCGA-44-2661	LUAD	2648.619648
TCGA-44-2662	LUAD	1852.851289
TCGA-44-2662	LUAD	1585.836741
TCGA-44-2662	LUAD	1459.17582
TCGA-44-2665	LUAD	1530.63552
TCGA-44-2666	LUAD	405.8511219
TCGA-44-2666	LUAD	102.3377593
TCGA-44-2666	LUAD	-102.9293478
TCGA-44-2668	LUAD	2048.871812
TCGA-44-2668	LUAD	1834.208866
TCGA-44-2668	LUAD	2248.447516
TCGA-44-3396	LUAD	2104.390007
TCGA-44-3398	LUAD	2030.046418
TCGA-44-3917	LUAD	1089.189533
TCGA-44-3917	LUAD	784.4384861
TCGA-44-3918	LUAD	2414.93395
TCGA-44-3918	LUAD	1969.475404
TCGA-44-3918	LUAD	1777.866427
TCGA-44-3919	LUAD	1914.328653
TCGA-44-4112	LUAD	946.0659171
TCGA-44-4112	LUAD	905.1552807
TCGA-44-5643	LUAD	803.829276
TCGA-44-5644	LUAD	-375.3536388
TCGA-44-5645	LUAD	1940.432659
TCGA-44-5645	LUAD	1600.550504
TCGA-44-5645	LUAD	1284.567172
TCGA-44-6145	LUAD	2130.16554
TCGA-44-6146	LUAD	0.625362108
TCGA-44-6146	LUAD	-229.5328892
TCGA-44-6146	LUAD	89.33439253
TCGA-44-6147	LUAD	1351.437015
TCGA-44-6147	LUAD	994.6246158
TCGA-44-6147	LUAD	1458.609366
TCGA-44-6148	LUAD	1028.618433
TCGA-44-6774	LUAD	1282.598459
TCGA-44-6775	LUAD	1671.883849
TCGA-44-6775	LUAD	1478.630224
TCGA-44-6775	LUAD	1294.928196
