Sample	Project	Score
TCGA-05-4396	LUAD	-0.134381873
TCGA-05-4410	LUAD	1.308997609
TCGA-44-7660	LUAD	-0.737687798
TCGA-91-8497	LUAD	0.096420236
TCGA-62-A46V	LUAD	-1.098343177
TCGA-44-3918	LUAD	-0.626122731
TCGA-95-7039	LUAD	-0.195947998
TCGA-95-A4VK	LUAD	0.029145122
TCGA-78-7148	LUAD	-0.052258619
TCGA-44-3919	LUAD	0.707762093
TCGA-91-6829	LUAD	-0.284188838
TCGA-55-6979	LUAD	0.879751097
TCGA-97-7552	LUAD	1.088450131
TCGA-50-6591	LUAD	-1.347526921
TCGA-75-5122	LUAD	1.818930527
TCGA-38-4632	LUAD	0.342972107
TCGA-50-5946	LUAD	-1.218896301
TCGA-64-5778	LUAD	1.734476316
TCGA-44-6777	LUAD	0.205189734
TCGA-50-5932	LUAD	-0.391131753
TCGA-NJ-A4YP	LUAD	-0.046244146
TCGA-91-6849	LUAD	-0.435693394
TCGA-99-AA5R	LUAD	0.520451935
TCGA-49-4514	LUAD	-0.315348646
TCGA-69-8453	LUAD	0.668530942
TCGA-67-6216	LUAD	0.019647328
TCGA-86-8074	LUAD	0.66638599
TCGA-67-3774	LUAD	0.321074842
TCGA-44-2666	LUAD	-0.006920535
TCGA-44-A4SS	LUAD	1.032675867
TCGA-78-7220	LUAD	-0.981385611
TCGA-49-6761	LUAD	0.112794636
TCGA-49-AAR0	LUAD	0.170937511
TCGA-86-8054	LUAD	-1.946053644
TCGA-44-8119	LUAD	-0.721387192
TCGA-44-A479	LUAD	0.297956373
TCGA-55-8512	LUAD	-0.664007289
TCGA-91-A4BC	LUAD	0.723332606
TCGA-78-7155	LUAD	-2.853211701
TCGA-49-6742	LUAD	0.077309666
TCGA-44-2666	LUAD	-0.42651614
TCGA-64-5779	LUAD	-0.427344922
TCGA-55-8508	LUAD	-0.14238071
TCGA-78-7159	LUAD	-0.713391464
TCGA-55-6981	LUAD	-0.615294492
TCGA-97-7546	LUAD	-0.544026399
TCGA-44-6146	LUAD	-2.159392569
TCGA-50-5045	LUAD	0.899767493
TCGA-86-8674	LUAD	-1.054484593
TCGA-49-AAR9	LUAD	-0.33213693
TCGA-86-6851	LUAD	1.198792183
TCGA-55-6983	LUAD	-0.467394454
TCGA-62-8395	LUAD	-1.471540603
TCGA-55-8507	LUAD	-0.870075763
TCGA-86-8073	LUAD	-0.775876414
TCGA-44-5643	LUAD	-0.809544585
TCGA-NJ-A4YF	LUAD	-1.654083656
TCGA-53-A4EZ	LUAD	0.664505233
TCGA-55-6968	LUAD	-0.039778982
TCGA-55-A57B	LUAD	-0.31805991
TCGA-49-6744	LUAD	0.576018998
TCGA-44-5645	LUAD	-0.646751134
TCGA-50-5055	LUAD	0.879437039
TCGA-78-7633	LUAD	-0.868334654
TCGA-62-A46S	LUAD	-0.566706278
TCGA-97-A4LX	LUAD	1.273571291
TCGA-35-4122	LUAD	1.323900053
TCGA-44-6148	LUAD	-1.228616789
TCGA-50-5935	LUAD	0.653223044
TCGA-55-7726	LUAD	-0.551708697
TCGA-55-8091	LUAD	0.211542297
TCGA-73-7499	LUAD	1.66206353
TCGA-44-3398	LUAD	0.529696512
TCGA-05-5420	LUAD	1.36561053
TCGA-MP-A4TI	LUAD	1.03594878
TCGA-J2-8192	LUAD	-0.15804798
TCGA-55-8097	LUAD	-1.071123184
TCGA-44-6146	LUAD	-1.138561851
TCGA-78-7166	LUAD	0.151430951
TCGA-86-8278	LUAD	-0.169503413
TCGA-44-6147	LUAD	-1.458932807
TCGA-91-6836	LUAD	-0.339457956
TCGA-86-7711	LUAD	-0.429284998
TCGA-55-7227	LUAD	0.591009718
TCGA-38-4628	LUAD	-0.507079087
TCGA-44-2666	LUAD	-1.361884033
TCGA-97-8174	LUAD	-0.289106555
TCGA-91-6848	LUAD	0.093948144
TCGA-69-8253	LUAD	-1.134331128
TCGA-05-4403	LUAD	0.977429229
TCGA-55-8614	LUAD	-0.29247487
TCGA-49-4488	LUAD	0.952424427
TCGA-64-1677	LUAD	1.099693402
TCGA-55-7728	LUAD	0.488050004
TCGA-05-4422	LUAD	0.890098542
TCGA-86-6562	LUAD	-0.816041055
TCGA-55-6978	LUAD	0.966083276
TCGA-78-7542	LUAD	1.564754866
TCGA-44-6775	LUAD	-0.245191409
TCGA-05-4424	LUAD	-0.391018142
TCGA-80-5607	LUAD	0.755633545
TCGA-MP-A4TD	LUAD	-0.499768998
TCGA-97-8176	LUAD	-1.124294772
TCGA-62-A471	LUAD	0.177346698
TCGA-78-7149	LUAD	-0.95342469
TCGA-86-A4P7	LUAD	-0.11546035
TCGA-99-8032	LUAD	-0.597216763
TCGA-97-8552	LUAD	-0.49181279
TCGA-97-A4M1	LUAD	0.052679202
TCGA-97-8179	LUAD	-0.374315372
TCGA-55-8302	LUAD	0.678123213
TCGA-38-4630	LUAD	-0.865251272
TCGA-49-4501	LUAD	0.485733767
TCGA-49-4494	LUAD	0.934943496
TCGA-64-1681	LUAD	0.677275847
TCGA-91-8499	LUAD	0.004646654
TCGA-50-6592	LUAD	0.833324916
TCGA-73-4670	LUAD	-0.427807599
TCGA-91-6830	LUAD	0.1229459
TCGA-86-A4JF	LUAD	0.591862608
TCGA-78-7145	LUAD	-1.032632793
TCGA-55-8089	LUAD	1.422889292
TCGA-97-8177	LUAD	0.375434512
TCGA-78-7163	LUAD	-0.280475015
TCGA-4B-A93V	LUAD	-0.676874921
TCGA-97-8175	LUAD	0.55016048
TCGA-55-6970	LUAD	0.080542269
TCGA-49-4487	LUAD	0.146132839
TCGA-55-8621	LUAD	0.593574932
TCGA-44-7671	LUAD	-1.534140032
TCGA-86-8669	LUAD	-0.270311477
TCGA-78-7158	LUAD	-0.772610112
TCGA-MP-A4T8	LUAD	-1.292511846
TCGA-50-8460	LUAD	-0.004627666
TCGA-44-2656	LUAD	1.28789759
TCGA-55-7725	LUAD	0.148189127
TCGA-38-4625	LUAD	1.031702744
TCGA-05-4425	LUAD	0.239844
