Sample_ID	Group
SAMN06172514	dog
SAMN06172513	dog
SAMN06172509	dog
SAMN06172493	dog
SAMN06172492	dog
SAMN06172486	dog
SAMN06172485	dog
SAMN06172477	dog
SAMN06172471	dog
SAMN06172457	dog
SAMN06172432	dog
SAMN06172428	dog
SAMN06172426	dog
SAMN06172421	dog
SAMN06172414	dog
SAMN06172407	dog
SAMN06172401	dog
GCF_000012825	ref
CCMD99440714ST	human
CCMD98198513ST	human
CCMD89107682ST	human
CCMD85661207ST	human
CCMD76409700ST	human
CCMD73128545ST	human
CCMD66848156ST	human
CCMD59583015ST	human
CCMD59540613ST	human
CCMD54057834ST	human
CCMD53508245ST	human
CCMD52145360ST	human
CCMD52117727ST	human
CCMD51228890ST	human
CCMD49942357ST	human
CCMD49025643ST	human
CCMD45812507ST	human
CCMD42956136ST	human
CCMD41521570ST	human
CCMD39157124ST	human
CCMD35801800ST	human
CCMD35633353ST	human
CCMD30627121ST	human
CCMD28738636ST	human
CCMD27867141ST	human
CCMD27463710ST	human
CCMD25475945ST	human
CCMD23541216ST	human
CCMD21703880ST	human
CCMD18829815ST	human
CCMD17410933ST	human
CCMD15562448ST	human
