phylum	352416_SOCS_CHL_STL_DNA	352576_SOCS_CHL_STL_DNA	1293818_SOCS_CHL_STL_DNA_01_C_S28	10009043_ND_VAR_STLOMN_DNA_01	10009052_ND_VAR_STLOMN_DNA_01	10009055_ND_VAR_STLOMN_DNA_01	10010105_ND_VAR_STLOMN_DNA_01	10010108_ND_VAR_STLOMN_DNA_01	10010113_ND_VAR_STLOMN_DNA_01	10010115_ND_VAR_STLOMN_DNA_01	10010227_ND_VAR_STLOMN_DNA_01	10010232_ND_VAR_STLOMN_DNA_01	10010239_ND_VAR_STLOMN_DNA_01	10010243_ND_VAR_STLOMN_DNA_01	10010465_ND_VAR_STLOMN_DNA_01	10010469_ND_VAR_STLOMN_DNA_01	10010471_ND_VAR_STLOMN_DNA_01	10010472_ND_VAR_STLOMN_DNA_01	10010474_ND_VAR_STLOMN_DNA_01	10010480_ND_VAR_STLOMN_DNA_01	10010481_ND_VAR_STLOMN_DNA_01	10010482_ND_VAR_STLOMN_DNA_01	10010483_ND_VAR_STLOMN_DNA_01	10010503_ND_VAR_STLOMN_DNA_01	10010515_ND_VAR_STLOMN_DNA_01	10010520_ND_VAR_STLOMN_DNA_01	10010522_ND_VAR_STLOMN_DNA_01	10010523_ND_VAR_STLOMN_DNA_01	10010600_ND_VAR_STLOMN_DNA_01	10010676_ND_VAR_STLOMN_DNA_01	10010682_ND_VAR_STLOMN_DNA_01	10010688_ND_VAR_STLOMN_DNA_01	10011899_ND_VAR_STLOMN_DNA_01	10011901_ND_VAR_STLOMN_DNA_01	10012005_ND_VAR_STLOMN_DNA_01	10012178_ND_VAR_STLOMN_DNA_01	10012355_ND_VAR_STLOMN_DNA_01	10012358_ND_VAR_STLOMN_DNA_01	10012359_ND_VAR_STLOMN_DNA_01	10012367_ND_VAR_STLOMN_DNA_01	10012371_ND_VAR_STLOMN_DNA_01	10012405_ND_VAR_STLOMN_DNA_01	10012409_ND_VAR_STLOMN_DNA_01	10012417_ND_VAR_STLOMN_DNA_01	10012632_ND_VAR_STLOMN_DNA_01	10012633_ND_VAR_STLOMN_DNA_01	10012634_ND_VAR_STLOMN_DNA_01	10012635_ND_VAR_STLOMN_DNA_01	10012636_ND_VAR_STLOMN_DNA_01	10012637_ND_VAR_STLOMN_DNA_01	10012639_ND_VAR_STLOMN_DNA_01	10012640_ND_VAR_STLOMN_DNA_01	10012642_ND_VAR_STLOMN_DNA_01	10012643_ND_VAR_STLOMN_DNA_01	10012644_ND_VAR_STLOMN_DNA_01	10012645_ND_VAR_STLOMN_DNA_01	10012646_ND_VAR_STLOMN_DNA_01	10012647_ND_VAR_STLOMN_DNA_01	10012648_ND_VAR_STLOMN_DNA_01	10013271_ND_VAR_STLOMN_DNA_01	10013280_ND_VAR_STLOMN_DNA_01	10013287_ND_VAR_STLOMN_DNA_01	10013721_ND_VAR_STLOMN_DNA_01	314196_SOCS_CHL_STL_DNA	314132_SOCS_CHL_STL_DNA	314164_SOCS_CHL_STL_DNA	352640_SOCS_CHL_STL_DNA	352448_SOCS_CHL_STL_DNA	352512_SOCS_CHL_STL_DNA	352480_SOCS_CHL_STL_DNA	352608_SOCS_CHL_STL_DNA	352384_SOCS_CHL_STL_DNA	352672_SOCS_CHL_STL_DNA	352544_SOCS_CHL_STL_DNA	659041_SOCS_CHL_STL_DNA	658945_SOCS_CHL_STL_DNA	1294804_SOCS_ZTA_STL_DNA_01_A_S23	1896846_SOCS_CHEM_STL_DNA_01_C_S73	1896878_SOCS_CHEM_STL_DNA_01_C_S21	2457183_SOCS_CHEM_STL_DNA_01_A_S70	2457151_SOCS_CHEM_STL_DNA_01_C_S18	1896814_SOCS_CHEM_STL_DNA_01_B_S54	3537806_SOCS_CHEM_STL_DNA_01_C_S69	2457119_SOCS_CHEM_STL_DNA	10007208_SOCS_CHEM_STL_DNA	10007207_SOCS_CHEM_STL_DNA	3537710_SOCS_CHEM_STL_DNA	10007202_SOCS_CHEM_STL_DNA	10010095_SOCS_VAR_STLOMN_DNA	10010104_SOCS_VAR_STLOMN_DNA	10010413_SOCS_CHEM_STLOMN_DNA	10010407_SOCS_CHEM_STLOMN_DNA	10010759_SOCS_VAR_STLOMN_DNA	10010746_SOCS_VAR_STLOMN_DNA	10010751_SOCS_VAR_STLOMN_DNA	10010749_SOCS_VAR_STLOMN_DNA	10011433_SOCS_VAR_STLOMN_DNA_01	10012797_SOCS_VAR_STLOMN_DNA_01	10012798_SOCS_VAR_STLOMN_DNA_01	10017598_SOCS_VAR_STLOMN_DNA_01	10017820_SOCS_VAR_STLOMN_DNA_01	10017597_SOCS_VAR_STLOMN_DNA_01	10017827_SOCS_VAR_STLOMN_DNA_01	10017832_SOCS_VAR_STLOMN_DNA_01	10017593_SOCS_VAR_STLOMN_DNA_01	10017601_SOCS_VAR_STLOMN_DNA_01	10017594_SOCS_VAR_STLOMN_DNA_01	10017818_SOCS_VAR_STLOMN_DNA_01	10022766_SOCS_VAR_STLOMN_DNA_01
Enterococcus	0.87606128	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735956132	0	0.791774837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8570409	0	0.740061904	0	0	0	0	0	0	0	0	0	0	0	1.349450512	0	1.160583674	0	0	0	0	0	1.328828075	6.011124024	0.573149992	0	0.754031047	0	0	0	0	0	0	0	0	3.102267009	0	0	0	0	0	0	0	0	0	0	0	0	0.541631545	0	0	0	0	0	0	0	0	0	0
Pseudomonas	3.003894375	3.240987662	2.94151736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779764263	0.860794704	1.339684396	0	0.692040706	0	1.466797365	0	1.168769943	0.877054251	0	0.35308779	0	0.820964058	0	0	0	0	0	0	1.829584482	0	0	1.02221059	0	0	0	0	0	0.566512447	0	2.357076345	2.624906897	2.342074827	3.075571086	2.535518288	1.915743499	2.35888509	2.663565859	2.374643293	2.85675561	5.236668139	2.070229735	2.607006722	2.748609397	3.223951738	3.533257278	2.85953374	2.901118453	2.722841314	3.160714272	2.648828852	2.157456198	2.614872216	2.958422679	2.77055259	2.819797024	2.567013752	3.285078682	2.949623822	2.732240716	2.23302901	2.101000059	2.894525908	0.894392718	0.725571392	0	0	0	0	0	0	1.62144787	0	0	0	0
Lachnospiraceae_NK4A136_group	2.695756533	0	2.804639887	2.295985137	3.215669347	3.417312407	3.365613926	2.782255838	2.856403417	3.515764586	3.029471682	3.052555809	2.756972103	2.727288116	1.785332921	3.330081403	2.310682783	2.688639646	3.490600325	3.37239664	2.935862289	3.550691966	2.355015646	3.142303287	2.355581757	3.026398683	3.239947243	3.411690358	3.155726032	1.881474387	3.551923282	2.347105192	3.014489058	1.666216518	0	3.366258884	3.070871269	2.982026517	2.769872491	3.095969552	3.396431771	1.580112793	3.682983913	2.229291015	2.759180849	3.71041664	3.515953902	3.623584822	3.237586297	3.402239404	2.790580097	2.869388764	3.232425444	3.527155578	1.595033137	3.560872571	2.961362732	2.374685401	2.846697118	1.563106623	3.571071027	2.041235091	2.409329331	1.36773174	1.813425603	2.646685085	2.769343364	2.755508914	3.042748918	2.349932926	0	2.744692817	2.991656754	0	2.398908678	2.527357674	3.267424882	3.71786958	3.140133079	2.000466477	2.377730554	2.87436154	3.296818898	3.023878787	3.122448162	0	3.659319748	2.536814815	2.320942324	0.737768512	2.650243135	2.421028124	0	2.421544639	1.754202453	2.883967966	3.32828286	2.902193487	3.097876491	1.477603482	1.574037492	3.19502414	0	0	2.102229221	2.547700832	3.264579055	0	2.526061173
Roseburia	3.578606857	3.253191317	2.708899193	3.213479506	2.848732667	2.967603023	3.05295222	2.498252886	2.377004499	2.92210423	2.866530358	2.504421155	2.444310872	3.067000397	1.273647166	3.004205694	2.236309478	2.468398299	3.097988212	3.576113321	2.767433889	2.942082851	2.664405339	2.851057511	2.953816603	2.451099112	2.915656632	2.698415183	3.445894011	2.162911114	2.852454315	3.040203322	3.173952407	3.012997338	0	2.526544378	2.588672582	3.044168386	3.168653644	2.099921337	3.324946472	0	3.401606041	1.492937401	2.72359111	3.807703627	3.431680314	2.897840293	3.093527186	3.380811548	2.439547664	3.822749938	2.785816292	2.666782988	2.450240988	3.230224481	3.12747148	2.689784897	3.142522017	2.427751245	3.179421743	2.556895111	2.564419088	2.892701074	2.274852992	2.047554335	2.421175705	3.133237651	3.066446635	1.943053281	1.221694621	3.262400127	2.520872598	2.376226685	2.142406699	2.142092733	2.719907258	2.875906786	1.431419026	2.363375528	1.516505303	1.968546182	2.371419187	0	2.955828246	0	2.760635764	0	3.245599417	1.892428386	2.346610635	2.411842435	0	2.353782049	2.053886566	2.533604029	2.170525013	2.089630692	3.155000196	1.428254761	3.106707122	2.924967999	1.995686875	0	2.876922868	2.752541294	2.767883169	0	2.618127697
Romboutsia	3.297635447	2.010058583	1.545180689	0.664648085	0	0	1.667301454	1.509133492	0	1.739242312	1.161374279	0	1.202790609	1.197819604	1.298613502	0.557090762	1.697205626	0.763715758	1.640708131	0	1.23572072	0	0	0.858087404	0	1.14325999	1.267165126	2.03324005	0	1.433405107	1.361057998	0	1.205934201	0	1.760608511	1.441209584	0	1.327341322	0	0	1.921663077	0	0	0	1.568333751	0	2.386081916	2.020483108	1.434165408	1.403300776	1.535281769	1.549206335	0.91349105	0	0.737211237	1.406406288	0	2.006482682	1.126054554	1.168566952	1.123487894	0.648648855	1.316558929	1.158124255	2.158182578	0	1.550554955	2.481778238	0	0	0	0	1.569701695	0	0	0.925048712	1.790890596	3.146705149	1.193873741	0	0.706123676	1.480160043	2.714333612	0.760339051	1.240968177	0	1.933077536	0	0	0.945354247	1.543443297	1.038705616	3.722762567	0	0.743533889	2.923117251	0	1.144496411	1.572633259	0.872264164	1.824132133	0	0	0	0.852719168	0	1.193171854	0	2.509162419
Erysipelotrichaceae_UCG-003	1.861475776	3.699081388	1.804097533	1.281040757	0	2.690645111	1.947425853	2.140802105	1.816181018	1.828822447	2.316186808	2.104431198	1.984333824	2.36066133	2.436519146	3.040742088	1.595660213	2.512687899	2.002971555	2.326261548	2.493661535	2.799430568	0	1.427122561	0	2.068818831	2.222020602	1.906587347	2.645891459	1.980962449	2.529636288	2.014910912	2.487650014	2.654705092	2.575777694	2.312776144	2.503231296	2.526062265	1.726216871	0.763628795	0	0	1.027590574	2.334395572	2.539432848	2.294363719	2.821334875	1.320405705	2.015014758	2.278659669	0	2.585560857	1.662398172	1.864510976	2.487098816	2.128225042	2.971094524	2.14053839	1.869709621	0	2.335058361	2.476381258	2.029539577	1.736941312	1.496865515	1.45993879	1.712033917	0	2.67970403	0	0	0	2.077531558	0	2.403636272	2.145396774	2.029326845	0	0	0	0	1.480160043	2.563692141	0	2.977153646	0	2.0567478	2.176939798	1.508630915	2.141034956	2.016057678	0.992490712	0	1.247568576	2.319224616	1.793971933	0	1.895891993	1.367798787	1.028480828	0	2.449549367	0	0	0.785562477	2.525046457	2.190976861	0	1.683536282
Ruminococcaceae_UCG-003	1.791185452	0	2.336263481	3.085412549	1.123458791	3.196427776	2.250130475	0	1.732190037	2.663315251	2.612366673	2.534656712	1.202790609	2.228844169	1.646733453	0	1.756369521	2.155507718	2.299458674	2.857088255	2.805160619	2.607857287	2.246418731	1.540644034	0	2.261302458	2.697401885	2.92287684	2.720236638	2.091565987	2.058011473	3.099766	3.24356327	1.939730782	2.605664013	2.634009008	2.730909275	2.094452796	2.369014922	2.35087715	2.398296262	0	2.493595305	0	2.566052559	2.289018384	2.784380401	2.753647079	2.761058602	2.668585894	2.260568979	3.071162337	1.417947675	2.612924961	2.764715815	2.887134201	2.69117887	2.67559987	2.251988923	1.501308696	2.626592253	1.351894599	2.200917725	2.523187708	0.9644936	2.373025478	2.005230556	2.422627288	0	2.710799219	0	0	1.871485509	0	2.43971126	2.32154942	2.150067019	2.341070511	0	0	0	1.716993027	2.31473615	0	0	0	1.816558621	1.625151625	0	0	0	2.221507732	0	1.592551431	1.460754485	2.301847864	2.808946616	2.313871656	3.021279162	2.409803701	2.876743683	0	0	0	2.199153411	0	0	0	2.317305948
Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709064715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.837669535	0	0	0	0.896229887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.223771678	0	0	0	0	2.147679637	0.772979828	0	0	0	1.446082115	4.293853821	0	0.966732162	0	0	1.782810469	3.568571451	0	0	0	0	0	0	0	1.983075159	0	0	0	0	0	0	0.452571177	2.475619659	0	3.076812977	3.231040736	0	0	0.627045685	0	3.784574271	0	0	0	1.030365249	3.116420684	0	1.077414172	0	2.482513534
Prevotella_7	0	0	0	0	0	0	0	0	0	0	0	0	2.80570261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.723933188	2.051739542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.632256008	2.397713964	1.150570435	0	0	0	0	4.081862657	0	0	2.105333167	0	0	0	0	2.775844109	0	0	0	2.795634894	3.530810735	0	0	0	0	0	1.528221899	0	0	0	0.827359489	0	0.361204627	0	0	0	0	0	0	0	0	0	0	0	3.262201835	0	0
Dorea	2.421380163	1.926437492	2.178060161	1.828452741	2.471161684	2.285908201	1.739625377	1.744399691	1.979699107	1.786337962	2.418308007	2.179605215	3.219956817	1.700979347	1.635710157	2.723311457	2.398248426	1.902657107	2.536404378	1.93138408	1.761376415	1.757311162	1.615969651	2.628167166	2.052395302	2.223206572	1.844908645	0	1.880072942	2.929487529	1.605358815	1.786248838	1.82144958	2.372287808	1.877982356	2.507368982	2.117409659	2.294888523	1.579800677	2.595076363	1.720652781	2.22995772	2.486813604	2.512614708	2.288857539	1.509477233	2.262926088	1.660894854	2.585753621	1.835096702	2.579417268	1.884888355	2.346768782	2.286755671	2.521071817	1.621386444	2.301094015	2.065807391	2.87559851	2.654430993	1.469971669	2.185581616	2.349787934	2.612210568	1.85520821	2.427752297	1.34346512	2.66433562	1.346368209	0	2.038228862	2.387900706	1.98152882	2.108943907	2.01348747	1.74054275	1.92224116	2.10839945	1.65206057	1.748650804	1.277961632	1.665360549	2.100486827	0	0	0	2.031424603	1.863754901	1.659474969	2.206026681	1.832392761	1.643840608	1.785745494	1.909768626	1.524146375	2.211386096	0	1.67573448	1.781971095	1.729894348	2.421281162	2.457526847	2.165208858	0	1.828289174	2.523937631	2.353148664	0	2.068681197
