type	N1	N2	N3	time
w/o	100.00	100.00	100.00	10min
TNF-α	120.56	102.72	135.03	10min
STS	65.78	67.55	69.63	10min
CHX	79.61	120.74	122.90	10min
ETO	106.99	150.32	111.08	10min
TPG	96.08	158.81	142.41	10min
VAL	110.87	127.76	121.38	10min
Serum	103.76	154.09	134.95	10min
MC	99.65	139.91	109.55	10min
I3M	245.97	62.74	204.80	10min
w/o	100.00	100.00	100.00	1h
TNF-α	87.17	105.32	106.32	1h
STS	64.27	48.51	78.67	1h
CHX	127.90	115.69	113.09	1h
ETO	87.18	61.52	147.03	1h
TPG	108.95	168.59	146.72	1h
VAL	100.41	96.07	154.23	1h
Serum	144.81	112.40	146.93	1h
MC	108.35	83.48	88.88	1h
I3M	55.46	105.57	96.89	1h
w/o	100.00	100.00	100.00	6h
TNF-α	73.95	137.53	97.85	6h
STS	38.48	41.95	29.06	6h
CHX	73.57	116.18	93.04	6h
ETO	91.88	99.22	75.86	6h
TPG	84.72	233.25	159.43	6h
VAL	39.34	86.95	70.61	6h
Serum	94.79	130.01	67.47	6h
MC	107.19	95.99	78.94	6h
I3M	84.55	109.66	84.96	6h
w/o	100.00	100.00	100.00	24h
TNF-α	90.37	103.93	85.89	24h
STS	40.59	55.16	54.67	24h
CHX	72.67	112.59	86.61	24h
ETO	92.91	150.56	88.53	24h
TPG	100.50	374.56	137.98	24h
VAL	43.67	49.65	58.61	24h
Serum	63.57	43.49	58.17	24h
MC	90.74	114.93	99.00	24h
I3M	106.01	75.32	53.82	24h
w/o	100.00	100.00	100.00	48h
TNF-α	82.46	96.83	86.80	48h
STS	77.13	60.02	69.26	48h
CHX	118.89	149.04	102.72	48h
ETO	114.90	78.49	139.61	48h
TPG	93.10	182.55	202.39	48h
VAL	35.98	78.07	51.73	48h
Serum	47.29	76.41	95.83	48h
MC	76.29	117.86	70.06	48h
I3M	101.38	131.21	119.84	48h
