label	DNN	PN	PT	TP	SiO4	Temperature	DPP	Sat	pH	Light
a1	19.0848	15.00436062	0.413	0.6486294	6.7325	22	10.36	33.649	10.672	3021.582734
a2	17.1472	21.54456918	0.2835	1.7198586	5.37	22	10.34	33.759	10.648	3003.597122
a3	27.8544	1.5616674	0.483	2.7591084	9.8325	22	10.34	34.045	10.672	3974.820144
a4	24.5868	7.67133054	0.3325	2.2172838	7.595	21.8	12.24	34.034	10.708	4064.748201
a5	17.8836	14.19018822	0.2695	1.0724334	6.9225	21.8	14.88	34.001	10.744	3705.035971
a6	29.106	3.7577223	0.378	0.2314146	9.7875	22	15.08	33.792	10.912	3309.352518
a7	19.782	11.03178078	0.294	0.5627352	6.7925	22	15.22	33.902	10.828	4154.676259
a8	20.6808	6.9205959	0.5285	0.5806338	6.15	21.8	14.04	33.979	10.804	4946.043165
a9	21.042	8.6195799	0.581	2.3518548	5.9025	22	14.44	33.924	10.816	3992.805755
a10	25.494	4.99087998	0.6615	2.6537346	8.295	22	14.74	33.902	10.816	3651.079137
a11	22.9656	7.2866655	0.5775	0.695667	6.9275	22	14.9	33.847	10.828	4928.057554
a12	29.4504	1.6274304	0.5635	2.576625	7.565	21.8	15.14	33.781	10.84	3543.165468
b1	5.0064	17.4123315	0.3815	8.9094594	2.745	30.4	6.68	33.836	10.936	3794.964029
b2	20.0424	14.6160558	0.546	2.3092494	5.4575	28.4	6.78	33.781	10.732	4676.258993
b3	21.2268	13.12243398	0.973	7.7765634	6.1075	26.6	6.8	33.671	10.72	4154.676259
b4	20.496	4.03474014	0.6405	8.7554394	5.3875	27	6.9	33.682	10.744	3507.194245
b5	15.1788	7.7424858	0.7945	13.5763914	4.9775	26.4	7.02	33.583	10.804	3956.834532
b6	23.058	8.98132518	0.714	28.9621434	7.83	25.2	7.08	33.506	10.708	5125.899281
b7	15.0192	20.18528766	0.4095	11.4980694	5.6575	25	7.56	33.506	10.84	6636.690647
b8	11.34	0.0794106	0.7105	8.8696974	4.2625	25.4	7.2	33.506	10.828	5125.899281
b9	10.7688	17.60588262	0.413	8.5195314	4.03	25.4	7.24	33.506	10.816	6151.079137
b10	21.3612	2.33494398	0.5215	10.4444814	7.53	25.4	7.34	33.495	10.852	5827.338129
b11	13.608	11.0871297	0.343	9.0744594	5.2475	25	7.36	33.506	10.852	4712.230216
b12	14.4732	15.2910423	0.2555	11.0427594	5.6875	25	7.5	33.539	10.9	7266.18705
