lable	sp1	sp2	sp3	sp4
a1	0	22500	0	23844
a2	0	7500	30000	38900
a3	0	7500	0	8900
a4	0	22500	0	23900
a5	2500	30000	30000	61400
a6	1250	82500	60000	143900
a7	0	37500	0	38900
a8	0	30000	30000	61400
a9	1250	15000	30000	46400
a10	2500	97500	0	98900
a11	0	22500	0	23900
a12	1250	30000	0	31400
b1	5000	165000	60000	226400
b2	32500	75000	0	76400
b3	90000	240000	240000	481400
b4	56250	337500	300000	638900
b5	185000	330000	480000	811400
b6	170000	48000	744000	793400
b7	11000	12000	1080000	1093400
b8	0	30000	72000	103400
b9	1000	6000	480000	487400
b10	30000	12000	744000	757400
b11	30000	12000	744000	757400
b12	30000	60000	1680000	1741400
c1	141250	150000	30000	181400
c2	153750	157500	30000	188900
c3	68750	142500	30000	173900
c4	58750	90000	0	91400
c5	5000	0	0	1400
c6	247500	472500	210000	683900
c7	252500	457500	150000	608900
c8	163750	225000	90000	316400
c9	358750	540000	420000	961400
c10	137500	210000	120000	331400
c11	117500	127500	60000	188900
c12	172500	315000	270000	586400
d1	3000	0	0	1400
d2	34000	6000	12000	18944
d3	415000	300000	504000	805400
d4	2300000	120000	744000	865400
d5	2800000	120000	2160000	2281400
d6	2105000	150000	3480000	3631400
d7	950000	150000	1440000	1591400
d8	890000	180000	1080000	1261400
d9	8560000	1140000	10080000	11221400
d10	2155000	240000	0	241400
d11	985000	300000	720000	1021400
d12	1835000	450000	1080000	1531400
e1	75000	60000	0	61400
e2	5060000	120000	3000000	3121400
e3	5640000	450000	2280000	2731400
e4	4955000	30000	2160000	2189944
e5	4625000	150000	2160000	2311400
e6	1380000	30000	1680000	17044
e7	2060000	30000	2040000	2071400
e8	1035000	30000	120000	150944
e9	1780000	60000	6000000	6059944
e10	4905000	330000	6000000	6329944
e11	5785000	120000	4680000	480000
e12	2525000	90000	1152000	1240000
